id,startMs,endMs,desc,chars
1,722577,758492,"Buu defeats Basil, super, fox, slapping, throw",[]
2,734128,739265,"Buu slaps Basil, super, 79",[]
3,746001,753302,"Buu throws Basil, hulk style, super",[]
